Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Nilotinib,1013,C3A,910850,LIHC,digestive_system,liver,5.9264436310863,0.982680799249529,10,0.0367234732329051,1.50156706042008,GDSC2
Nilotinib,1013,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,1.53517452716973,0.830253328031335,10,0.0885928201693922,-1.07186665396477,GDSC2
Nilotinib,1013,JHH-2,1240157,LIHC,digestive_system,liver,4.91876377976985,0.986779429743409,10,0.026638441896401,0.911032242052612,GDSC2
Nilotinib,1013,JHH-4,1240158,LIHC,digestive_system,liver,3.1588625900445,0.955751935324615,10,0.114405983168752,-0.120329978856567,GDSC2
Nilotinib,1013,JHH-6,1240159,LIHC,digestive_system,liver,3.00461625643196,0.93811922256068,10,0.0343330278197022,-0.210723599890793,GDSC2
Nilotinib,1013,JHH-7,1240160,LIHC,digestive_system,liver,5.42155237048286,0.986829516534004,10,0.0413077677300989,1.20568353304156,GDSC2
Nilotinib,1013,SNU-398,1240217,LIHC,digestive_system,liver,2.79727532473441,0.95950110206105,10,0.0804021933034899,-0.332232469280409,GDSC2
Nilotinib,1013,huH-1,1298146,LIHC,digestive_system,liver,4.31883925152857,0.975263805568452,10,0.0493892360127001,0.5594559732046,GDSC2
Nilotinib,1013,JHH-1,1298151,LIHC,digestive_system,liver,4.39677315131911,0.982393950411089,10,0.068852516823965,0.605127900947671,GDSC2
Refametinib,1014,HLE,907057,LIHC,digestive_system,liver,2.65165145834608,0.893602189720986,10,0.132480503641092,0.197827732899021,GDSC2
Refametinib,1014,HuH-7,907071,LIHC,digestive_system,liver,1.35338949185973,0.774109516490239,10,0.0295810161366714,-0.479193427463227,GDSC2
Refametinib,1014,SK-HEP-1,909719,LIHC,digestive_system,liver,3.03666039603313,0.918365949177482,10,0.0811162165634179,0.398603234663263,GDSC2
Refametinib,1014,SNU-387,909736,LIHC,digestive_system,liver,2.65680328533375,0.855740066390494,10,0.150126723143098,0.200514321565419,GDSC2
Refametinib,1014,SNU-423,909737,LIHC,digestive_system,liver,2.67601305627531,0.870680687847126,10,0.0567883507519679,0.210531884853011,GDSC2
Refametinib,1014,SNU-449,909738,LIHC,digestive_system,liver,1.67970515143986,0.758116351264176,10,0.122673860724114,-0.309025455053757,GDSC2
Refametinib,1014,C3A,910850,LIHC,digestive_system,liver,1.924839111707,0.787304572143982,10,0.155216090856035,-0.18119233469099,GDSC2
Refametinib,1014,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,-0.656514287477249,0.566393327176906,10,0.121445673555176,-1.52732348443929,GDSC2
Refametinib,1014,JHH-2,1240157,LIHC,digestive_system,liver,0.495820208308105,0.687234063072036,10,0.112908176491114,-0.926400976038706,GDSC2
Refametinib,1014,JHH-4,1240158,LIHC,digestive_system,liver,0.972093358032223,0.730690298972375,10,0.117673076478623,-0.678032766232573,GDSC2
Refametinib,1014,JHH-6,1240159,LIHC,digestive_system,liver,2.5222980930817,0.840037719529872,10,0.09350817046826,0.130372190251443,GDSC2
Refametinib,1014,JHH-7,1240160,LIHC,digestive_system,liver,3.79032549656474,0.919679797554932,10,0.0848701826729966,0.791626548954279,GDSC2
Refametinib,1014,SNU-398,1240217,LIHC,digestive_system,liver,2.86574200981382,0.897025048030996,10,0.0556208494599772,0.309472252509777,GDSC2
Refametinib,1014,huH-1,1298146,LIHC,digestive_system,liver,3.47741596096811,0.9064587679928,10,0.0947567941109333,0.628449638325533,GDSC2
Refametinib,1014,JHH-1,1298151,LIHC,digestive_system,liver,2.24092052525374,0.846880461069351,10,0.0752636896935984,-0.0163613445730906,GDSC2
Temsirolimus,1016,HLE,907057,LIHC,digestive_system,liver,0.011597014406648,0.871070941273709,1,0.204730943799846,-0.60620736976093,GDSC2
Temsirolimus,1016,HuH-7,907071,LIHC,digestive_system,liver,0.885212812906512,0.905418960258907,1,0.139811321379219,-0.0907873406766528,GDSC2
Temsirolimus,1016,SK-HEP-1,909719,LIHC,digestive_system,liver,1.45348703128906,0.949261055676829,1,0.117623827355538,0.244485801898757,GDSC2
Temsirolimus,1016,SNU-387,909736,LIHC,digestive_system,liver,3.09699866134727,0.962916220721109,1,0.037914174698418,1.21413265766711,GDSC2
Temsirolimus,1016,SNU-423,909737,LIHC,digestive_system,liver,1.31765608887034,0.920144413347508,1,0.112462076268642,0.164347612534256,GDSC2
Temsirolimus,1016,SNU-449,909738,LIHC,digestive_system,liver,2.17292001932381,0.914018017369323,1,0.110237605613234,0.668940318694128,GDSC2
Temsirolimus,1016,C3A,910850,LIHC,digestive_system,liver,2.66104017271732,0.939469807279858,1,0.0476667099174622,0.956923782467008,GDSC2
Temsirolimus,1016,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,0.122334036736001,0.904161859320877,1,0.248346600687424,-0.54087421144613,GDSC2
Temsirolimus,1016,JHH-2,1240157,LIHC,digestive_system,liver,-1.24941373029609,0.743918517203222,1,0.245010547319806,-1.35018452290576,GDSC2
Temsirolimus,1016,JHH-4,1240158,LIHC,digestive_system,liver,1.93608312805339,0.940515425951286,1,0.105166574727429,0.529210156308734,GDSC2
Temsirolimus,1016,JHH-6,1240159,LIHC,digestive_system,liver,1.67003700734574,0.915679262504073,1,0.0589797755213966,0.372246992972679,GDSC2
