sample,ploidy,cellularity
HRR227090,2,1
HRR227091,2,1
HRR227092,2,1
HRR227093,3.96,1
HRR227094,2,1
HRR227095,3.08,1
HRR227096,2,1
HRR227097,3,1
HRR227098,1.96,1
HRR227099,2,1
HRR227100,1.96,1
HRR227101,1.96,1
HRR227102,4.64,1
HRR227103,3.88,1
HRR227104,2,1
HRR227105,4,1
HRR227106,2,1
HRR227107,4,1
HRR227108,1.96,1
HRR227109,3.96,1
HRR227110,2,1
HRR227111,2.04,1
HRR227112,3,1
HRR227113,2,1
HRR227114,3.96,1
HRR227115,3.96,1
HRR227116,3.04,1
HRR227117,2,1
HRR227118,3,1
HRR227119,3.84,1
HRR227120,3,1
HRR227121,2,1
HRR227122,2,1
HRR227123,1.96,1
HRR227124,3.96,1
HRR227125,2,1
HRR227126,3.92,1
HRR227127,3.04,1
HRR227128,2.96,1
HRR227129,2,1
HRR227130,1.96,1
HRR227131,4,1
HRR227132,1.96,1
HRR227133,3,1
HRR227134,2,1
HRR227135,3.92,1
HRR227136,2.96,1
HRR227137,2,1
HRR227138,1.96,1
HRR227139,2,1
HRR227140,2.96,1
HRR227141,4.96,1
HRR227142,3.88,1
HRR227143,3.96,1
HRR227144,3.92,1
HRR227145,1.96,1
HRR227146,2,1
HRR227147,1.96,1
HRR227148,2,1
HRR227149,2,1
HRR227150,2,1
HRR227151,2,1
HRR227152,2,1
HRR227153,2,1
HRR227154,2,1
HRR227155,2,1
HRR227156,2,1
HRR227157,2,1
HRR227158,2,1
HRR227159,2.04,1
HRR227160,2,1
HRR227161,1.96,1
HRR227162,2,1
HRR227163,2,1
HRR227164,2,1
HRR227165,2,1
HRR227166,2,1
HRR227167,2,1
HRR227168,2,1
HRR227169,2,1
HRR227170,2,1
HRR227171,2,1
HRR227172,2,1
HRR227173,4.04,1
HRR227174,2,1
HRR227175,2,1
HRR227176,2,1
HRR227177,2,1
HRR227178,2,1
HRR227179,2,1
HRR227180,2,1
HRR227181,2,1
HRR227182,2,1
HRR227183,3.88,1
HRR227184,1.96,1
HRR227185,2,1
HRR227186,2,1
HRR227187,1.96,1
HRR227188,4.04,1
HRR227189,1.96,1
HRR227190,2,1
HRR227191,2,1
HRR227192,2,1
HRR227193,2,1
HRR227194,2,1
HRR227195,2,1
HRR227196,1.96,1
HRR227197,2,1
HRR227198,2,1
HRR227199,2,1
HRR227200,2,1
HRR227201,2.04,1
HRR227202,2,1
HRR227203,2,1
HRR227204,4.84,1
HRR227205,2,1
HRR227206,2,1
HRR227207,2,1
HRR227208,3,1
HRR227209,2,1
HRR227210,2,1
HRR227211,1.96,1
HRR227212,2,1
HRR227213,2,1
HRR227214,4.72,1
HRR227215,2,1
HRR227216,2,1
HRR227217,3.96,1
HRR227218,1.96,1
HRR227219,4.12,1
HRR227220,4,1
HRR227221,3.8,1
HRR227222,2,1
HRR227223,2,1
HRR227224,1.96,1
HRR227225,2,1
HRR227226,1.96,1
HRR227227,3.08,1
HRR227228,2,1
HRR227229,2.96,1
HRR227230,1.96,1
HRR227231,4,1
HRR227232,2,1
HRR227233,4,1
HRR227234,3.88,1
HRR227235,2,1
HRR227236,2,1
HRR227237,2,1
HRR227238,2.96,1
HRR227239,2,1
HRR227240,2,1
HRR227241,2,1
HRR227242,2,1
HRR227243,2,1
HRR227244,2,1
HRR227245,2,1
HRR227246,2,1
HRR227247,2,1
HRR227248,2,1
HRR227249,2,1
HRR227250,2,1
HRR227251,2,1
HRR227252,2,1
HRR227253,2,1
HRR227254,2,1
HRR227255,2,1
HRR227256,2,1
HRR227257,2,1
HRR227258,2,1
HRR227259,2,1
HRR227260,2,1
HRR227261,2,1
HRR227262,2,1
HRR227263,2,1
